surface_m2,nb_pieces,is_maison,revenu_median_mensuel,taux_pauvrete_pct,population_2019,part_jeunes_pct,part_seniors_pct,mois_mutation,distance_transport_m,est_metro_proche,q_Bagatelle / Reynerie,q_Borderouge / Croix-Daurade,q_Capitole / Carmes,q_Côte Pavée / Jolimont,q_Rangueil / Saouzelong,q_Saint-Cyprien / Arènes
45.0,2,0,1935.5,19.1,96734,32.2,13.0,5,,,False,True,False,False,False,False
198.0,6,1,1638.4,25.8,70238,27.7,10.2,3,,,False,False,False,True,False,False
40.0,2,0,1935.5,19.1,96734,32.2,13.0,9,87.8,0.0,False,True,False,False,False,False
45.0,2,0,1529.5,36.2,105462,32.7,11.3,7,,,False,False,False,False,True,False
64.0,3,0,1935.5,19.1,96734,32.2,13.0,7,,,False,True,False,False,False,False
24.0,1,0,1638.4,25.8,70238,27.7,10.2,2,49.7,0.0,False,False,False,True,False,False
40.0,2,0,2155.0,15.3,70863,28.8,15.8,9,,,False,False,False,False,False,True
83.0,5,1,1935.5,19.1,96734,32.2,13.0,3,,,False,True,False,False,False,False
66.0,3,0,1935.5,19.1,96734,32.2,13.0,12,,,False,True,False,False,False,False
60.0,3,0,1638.4,25.8,70238,27.7,10.2,7,,,False,False,False,True,False,False
79.0,3,0,2324.5,16.1,83796,41.1,13.4,5,41.4,0.0,False,False,True,False,False,False
70.0,4,1,1529.5,36.2,105462,32.7,11.3,3,,,False,False,False,False,True,False
33.0,1,0,2324.5,16.1,83796,41.1,13.4,3,145.9,0.0,False,False,True,False,False,False
65.0,3,0,1956.6,18.3,66372,26.5,15.3,10,307.1,0.0,True,False,False,False,False,False
42.0,2,0,1935.5,19.1,96734,32.2,13.0,7,,,False,True,False,False,False,False
117.0,6,1,1935.5,19.1,96734,32.2,13.0,1,,,False,True,False,False,False,False
48.0,2,0,1935.5,19.1,96734,32.2,13.0,4,,,False,True,False,False,False,False
55.0,3,0,1638.4,25.8,70238,27.7,10.2,7,125.9,0.0,False,False,False,True,False,False
79.0,3,0,2324.5,16.1,83796,41.1,13.4,12,68.6,0.0,False,False,True,False,False,False
68.0,3,0,1529.5,36.2,105462,32.7,11.3,8,,,False,False,False,False,True,False
66.0,4,0,2155.0,15.3,70863,28.8,15.8,5,102.6,0.0,False,False,False,False,False,True
66.0,3,0,1638.4,25.8,70238,27.7,10.2,7,,,False,False,False,True,False,False
50.0,2,0,2324.5,16.1,83796,41.1,13.4,12,101.8,0.0,False,False,True,False,False,False
83.0,4,1,1935.5,19.1,96734,32.2,13.0,9,172.5,0.0,False,True,False,False,False,False
57.0,2,0,1935.5,19.1,96734,32.2,13.0,4,,,False,True,False,False,False,False
110.0,5,0,2324.5,16.1,83796,41.1,13.4,8,119.0,0.0,False,False,True,False,False,False
