Geo Point;Geo Shape;CODE_EXPL;NOM_EXPL;ID_HASTUS;NOM_ARRET;ADRESSE;X_PHYS;Y_PHYS;X_PROJ;Y_PROJ;X_DECALE;Y_DECALE;CONC_LIGNE;CONC_PTY;CONC_MODE;CODE_INSEE;COMMUNE
43.44469030971189, 1.3180004210811844;"{""coordinates"": [1.318000421081184, 43.44469030971189], ""type"": ""Point""}";6192449487677451;tisseo;70161;08 Mai 1945;RUE DU 8 MAI 1945;1563858.0;2250763.0;1563859.3;2250766.6;1563857.53299716;2250761.92263953;302;302/2;bus;31395;MURET
43.5698384625661, 1.28727688939305;"{""coordinates"": [1.28727688939305, 43.5698384625661], ""type"": ""Point""}";6192449487677451;tisseo;23271;11 Novembre 1918;RUE DU 11 NOVEMBRE 1918;1561655.0;2264714.0;1561650.8;2264711.6;1561654.85465362;2264714.52571085;55;55/8;bus;31424;PLAISANCE-DU-TOUCH
43.613757186308995, 1.3312206732646876;"{""coordinates"": [1.331220673264688, 43.613757186308995], ""type"": ""Point""}";6192449487677451;tisseo;16271;14ème Rgt d'Infanterie;BOULEVARD DU 14ÈME R.I.;1565301.0;2269521.0;1565307.2;2269520.5;1565302.22654103;2269521.01449575;L02;L02/9;lineo;31149;COLOMIERS
43.54523302011371, 1.3859774760905186;"{""coordinates"": [1.385977476090519, 43.54523302011371], ""type"": ""Point""}";6192449487677451;tisseo;871;1er RTP;D15;1569574.0;2261823.0;1569572.0;2261827.5;1569574.51067759;2261823.17605527;58 85;58/1 58/2 58/3 58/4 58/5 58/6 85/19;bus;31555;TOULOUSE
43.70689511398693, 1.4665748657264834;"{""coordinates"": [1.466574865726483, 43.70689511398693], ""type"": ""Point""}";6192449487677451;tisseo;21530;8 mai 1945;RUE DU 8 MAI 1945;1576414.0;2279659.0;1576409.9;2279665.2;1576412.94409392;2279661.23345337;26 33 SC34 SC35;26/3 33/11 33/14 SC34/3 SC35/5;bus scolaire;31410;PECHBONNIEU
43.70668205879705, 1.4661210906976962;"{""coordinates"": [1.466121090697696, 43.70668205879705], ""type"": ""Point""}";6192449487677451;tisseo;21531;8 mai 1945;RUE DU 8 MAI 1945;1576377.0;2279636.0;1576382.8;2279633.0;1576378.54917669;2279635.63233601;26 33 SC34 SC35;26/6 33/12 33/15 SC34/4 SC35/7;bus scolaire;31410;PECHBONNIEU
43.54067043116303, 1.481686135976906;"{""coordinates"": [1.481686135976906, 43.54067043116303], ""type"": ""Point""}";6192449487677451;tisseo;20840;8 mai 1945;INCONNU;1577298.0;2261172.0;1577303.7;2261172.3;1577298.70656168;2261172.04392623;L06;L06/12;lineo;31446;RAMONVILLE-SAINT-AGNE
43.61144205462677, 1.4393987290663146;"{""coordinates"": [1.439398729066315, 43.61144205462677], ""type"": ""Point""}";6192449487677451;tisseo;210;A. Bernard;BOULEVARD D'ARCOLE;1574027.0;2269096.0;1574028.1;2269099.6;1574026.59434316;2269094.83208667;29 45 70 L01 L14;29/36 45/7 70/22 70/27 L01/14 L01/20 L14/1;bus lineo;31555;TOULOUSE
43.69530079485125, 1.410527062413775;"{""coordinates"": [1.410527062413775, 43.69530079485125], ""type"": ""Point""}";6192449487677451;tisseo;14181;Acacias;D4;1571873.0;2278455.0;1571877.2;2278457.8;1571873.23196819;2278454.75784228;169 SC31;169/6 SC31/4;bus scolaire;31467;SAINT-ALBAN
43.6009415448123, 1.4741791014915786;"{""coordinates"": [1.474179101491579, 43.6009415448123], ""type"": ""Point""}";6192449487677451;tisseo;21;Achiary;AVENUE DE CASTRES;1576813.0;2267878.0;1576813.0;2267872.3;1576813.43049421;2267877.281433;23 37 51 L01 SC06;23/49 37/16 51/10 L01/17 SC06/10 SC06/9;bus lineo scolaire;31555;TOULOUSE
