id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
1,39.5,0,scolaire
2,232.8,0,bus
3,79.2,0,bus
4,140.4,0,bus
5,369.8,0,lineo scolaire
6,15.0,0,lineo
7,104.8,1,metro
8,254.6,0,bus
9,199.7,0,bus
10,31.3,0,bus
11,116.8,0,bus
12,126.6,0,bus
13,111.0,0,lineo
14,115.8,0,bus lineo
15,117.1,0,scolaire
16,106.0,0,bus scolaire
17,304.1,0,lineo
18,304.1,0,lineo
19,98.3,0,bus
20,282.4,0,bus
21,181.8,0,bus
22,6.5,0,bus
23,168.6,0,lineo scolaire
24,87.7,0,bus
25,291.9,1,metro
26,17.5,0,lineo
27,192.3,0,lineo
28,122.5,0,bus
29,104.7,0,bus
30,284.9,0,lineo scolaire
31,455.2,0,lineo
32,93.7,0,bus lineo
33,34.9,0,bus
34,14.6,0,lineo
35,266.2,0,bus
36,168.7,0,bus
37,461.0,0,lineo
38,336.3,0,bus
39,334.6,0,bus
40,368.9,0,bus
41,80.1,0,bus
42,65.6,0,bus lineo
43,227.3,0,bus
44,83.0,0,bus lineo scolaire
45,181.4,0,bus lineo scolaire
46,147.9,0,bus
47,116.1,0,telepherique
48,191.6,0,lineo
49,222.9,0,bus
50,109.5,0,bus
51,254.6,0,lineo
52,181.5,0,bus
53,73.6,0,bus
54,5.8,0,bus
55,33.2,0,bus
56,250.6,0,lineo
57,269.6,0,lineo scolaire
58,39.0,0,bus
59,174.5,0,bus lineo
60,97.6,0,bus
61,250.4,0,bus
62,62.7,0,lineo
63,282.5,0,bus
64,307.4,0,lineo
65,142.6,0,bus lineo
66,137.6,0,bus
67,89.2,0,bus
68,90.0,0,bus
69,238.3,0,bus lineo
70,129.0,0,bus
71,137.5,0,bus
72,191.5,0,bus
73,33.5,0,bus
74,144.3,0,bus
75,247.6,0,bus
76,198.5,0,bus
77,15.2,0,bus
78,151.2,0,bus
79,142.5,0,bus
80,139.3,0,bus
81,117.0,0,bus lineo
82,225.8,0,bus lineo
83,81.0,0,bus
84,92.4,0,lineo
85,60.3,0,lineo scolaire
86,269.2,1,metro
87,87.3,0,bus
88,77.0,0,bus lineo
89,66.9,0,bus
90,121.0,0,bus
91,159.5,0,bus
92,252.0,0,bus
93,41.8,0,bus
94,315.8,0,bus
95,185.2,0,bus
96,299.8,0,bus
97,78.4,0,bus
98,14.5,0,bus scolaire
99,146.1,0,bus
100,125.5,0,bus
101,100.5,0,bus lineo scolaire
102,180.0,0,bus
103,39.5,0,bus
104,60.5,0,bus
105,177.7,0,bus
106,68.2,1,metro
107,101.1,0,bus
108,8.3,0,bus
109,34.5,0,tram
110,87.7,0,lineo
111,87.7,0,lineo
112,174.0,0,tram
113,28.6,0,bus
114,133.1,0,bus lineo
115,131.4,0,bus lineo
116,113.5,0,bus
117,203.3,0,bus
118,269.0,0,lineo scolaire
119,247.2,0,bus lineo
120,76.8,0,bus
121,183.1,1,metro
122,120.0,0,bus
123,252.1,0,bus lineo
124,205.2,0,bus
125,80.1,0,bus
126,134.8,0,bus
127,147.6,0,bus lineo
128,45.0,0,bus
129,195.7,0,bus
130,203.1,0,bus
131,34.5,0,tram
132,99.3,0,bus
133,145.2,0,bus
134,100.8,0,bus lineo scolaire
135,221.2,0,tram
136,38.5,0,lineo scolaire
