quartier,distance_transport_m,est_metro_proche
Borderouge / Bagatelle,39.5,0
Côte Pavée / Jolimont,232.8,0
Côte Pavée / Jolimont,79.2,0
Capitole / Carmes,140.4,0
Côte Pavée / Jolimont,369.8,0
Côte Pavée / Jolimont,15.0,0
Saint-Cyprien / Empalot,104.8,1
Côte Pavée / Jolimont,254.6,0
Capitole / Carmes,199.7,0
Rangueil / Saouzelong,31.3,0
Rangueil / Saouzelong,116.8,0
Capitole / Carmes,126.6,0
Côte Pavée / Jolimont,111.0,0
Capitole / Carmes,115.8,0
Capitole / Carmes,117.1,0
Borderouge / Bagatelle,106.0,0
Croix-Daurade / Minimes,304.1,0
Croix-Daurade / Minimes,304.1,0
Saint-Cyprien / Empalot,98.3,0
Côte Pavée / Jolimont,282.4,0
Borderouge / Bagatelle,181.8,0
Rangueil / Saouzelong,6.5,0
Borderouge / Bagatelle,168.6,0
Saint-Cyprien / Empalot,87.7,0
Croix-Daurade / Minimes,291.9,1
Saint-Cyprien / Empalot,17.5,0
Côte Pavée / Jolimont,192.3,0
Saint-Cyprien / Empalot,122.5,0
Borderouge / Bagatelle,104.7,0
Côte Pavée / Jolimont,284.9,0
Borderouge / Bagatelle,455.2,0
Capitole / Carmes,93.7,0
Saint-Cyprien / Empalot,34.9,0
Rangueil / Saouzelong,14.6,0
Côte Pavée / Jolimont,266.2,0
Borderouge / Bagatelle,168.7,0
Croix-Daurade / Minimes,461.0,0
Côte Pavée / Jolimont,336.3,0
Borderouge / Bagatelle,334.6,0
Croix-Daurade / Minimes,368.9,0
Rangueil / Saouzelong,80.1,0
Capitole / Carmes,65.6,0
Rangueil / Saouzelong,227.3,0
Côte Pavée / Jolimont,83.0,0
Borderouge / Bagatelle,181.4,0
Capitole / Carmes,147.9,0
Rangueil / Saouzelong,116.1,0
Saint-Cyprien / Empalot,191.6,0
Borderouge / Bagatelle,222.9,0
Croix-Daurade / Minimes,109.5,0
Rangueil / Saouzelong,254.6,0
Capitole / Carmes,181.5,0
Borderouge / Bagatelle,73.6,0
Borderouge / Bagatelle,5.8,0
Saint-Cyprien / Empalot,33.2,0
Rangueil / Saouzelong,250.6,0
Côte Pavée / Jolimont,269.6,0
Rangueil / Saouzelong,39.0,0
Croix-Daurade / Minimes,174.5,0
Croix-Daurade / Minimes,97.6,0
Borderouge / Bagatelle,250.4,0
Côte Pavée / Jolimont,62.7,0
Saint-Cyprien / Empalot,282.5,0
Côte Pavée / Jolimont,307.4,0
Croix-Daurade / Minimes,142.6,0
Croix-Daurade / Minimes,137.6,0
Borderouge / Bagatelle,89.2,0
Rangueil / Saouzelong,90.0,0
Capitole / Carmes,238.3,0
Borderouge / Bagatelle,129.0,0
Borderouge / Bagatelle,137.5,0
Croix-Daurade / Minimes,191.5,0
Borderouge / Bagatelle,33.5,0
Côte Pavée / Jolimont,144.3,0
Borderouge / Bagatelle,247.6,0
Côte Pavée / Jolimont,198.5,0
Saint-Cyprien / Empalot,15.2,0
Rangueil / Saouzelong,151.2,0
Borderouge / Bagatelle,142.5,0
Borderouge / Bagatelle,139.3,0
Capitole / Carmes,117.0,0
Capitole / Carmes,225.8,0
Saint-Cyprien / Empalot,81.0,0
Côte Pavée / Jolimont,92.4,0
Côte Pavée / Jolimont,60.3,0
Côte Pavée / Jolimont,269.2,1
Saint-Cyprien / Empalot,87.3,0
Capitole / Carmes,77.0,0
Rangueil / Saouzelong,66.9,0
Rangueil / Saouzelong,121.0,0
Borderouge / Bagatelle,159.5,0
Borderouge / Bagatelle,252.0,0
Croix-Daurade / Minimes,41.8,0
Borderouge / Bagatelle,315.8,0
Borderouge / Bagatelle,185.2,0
Borderouge / Bagatelle,299.8,0
Borderouge / Bagatelle,78.4,0
Borderouge / Bagatelle,14.5,0
Capitole / Carmes,146.1,0
Croix-Daurade / Minimes,125.5,0
Borderouge / Bagatelle,100.5,0
Croix-Daurade / Minimes,180.0,0
Rangueil / Saouzelong,39.5,0
Rangueil / Saouzelong,60.5,0
Croix-Daurade / Minimes,177.7,0
Croix-Daurade / Minimes,68.2,1
Saint-Cyprien / Empalot,101.1,0
Côte Pavée / Jolimont,8.3,0
Saint-Cyprien / Empalot,34.5,0
Rangueil / Saouzelong,87.7,0
Rangueil / Saouzelong,87.7,0
Saint-Cyprien / Empalot,174.0,0
Côte Pavée / Jolimont,28.6,0
Capitole / Carmes,133.1,0
Capitole / Carmes,131.4,0
Borderouge / Bagatelle,113.5,0
Côte Pavée / Jolimont,203.3,0
Croix-Daurade / Minimes,269.0,0
Borderouge / Bagatelle,247.2,0
Côte Pavée / Jolimont,76.8,0
Capitole / Carmes,183.1,1
Croix-Daurade / Minimes,120.0,0
Borderouge / Bagatelle,252.1,0
Borderouge / Bagatelle,205.2,0
Rangueil / Saouzelong,80.1,0
Rangueil / Saouzelong,134.8,0
Capitole / Carmes,147.6,0
Capitole / Carmes,45.0,0
Rangueil / Saouzelong,195.7,0
Rangueil / Saouzelong,203.1,0
Saint-Cyprien / Empalot,34.5,0
Capitole / Carmes,99.3,0
Borderouge / Bagatelle,145.2,0
Borderouge / Bagatelle,100.8,0
Saint-Cyprien / Empalot,221.2,0
Côte Pavée / Jolimont,38.5,0
Côte Pavée / Jolimont,156.3,0
Borderouge / Bagatelle,106.6,0
Borderouge / Bagatelle,53.8,0
Borderouge / Bagatelle,261.8,0
Saint-Cyprien / Empalot,53.6,0
Rangueil / Saouzelong,46.5,0
Capitole / Carmes,84.7,0
Rangueil / Saouzelong,41.0,1
Capitole / Carmes,93.2,0
Rangueil / Saouzelong,43.3,0
Rangueil / Saouzelong,46.5,0
Capitole / Carmes,193.6,0
Rangueil / Saouzelong,60.5,0
Rangueil / Saouzelong,176.0,0
Saint-Cyprien / Empalot,65.4,0
Côte Pavée / Jolimont,30.9,0
Rangueil / Saouzelong,139.2,0
Rangueil / Saouzelong,93.0,0
Rangueil / Saouzelong,225.6,0
Rangueil / Saouzelong,69.2,0
Rangueil / Saouzelong,97.2,0
Borderouge / Bagatelle,158.5,0
Côte Pavée / Jolimont,125.1,0
Rangueil / Saouzelong,97.2,0
Rangueil / Saouzelong,153.9,0
Borderouge / Bagatelle,131.7,0
Borderouge / Bagatelle,310.2,0
Côte Pavée / Jolimont,245.9,0
Côte Pavée / Jolimont,310.8,1
Capitole / Carmes,190.7,0
Saint-Cyprien / Empalot,226.1,0
Capitole / Carmes,16.8,0
Saint-Cyprien / Empalot,276.8,0
Rangueil / Saouzelong,250.1,0
Croix-Daurade / Minimes,55.6,0
Borderouge / Bagatelle,22.6,0
Borderouge / Bagatelle,227.7,0
Rangueil / Saouzelong,55.8,0
Croix-Daurade / Minimes,116.9,0
Borderouge / Bagatelle,133.9,0
Rangueil / Saouzelong,220.9,0
Saint-Cyprien / Empalot,91.6,0
Saint-Cyprien / Empalot,72.7,0
Saint-Cyprien / Empalot,264.5,0
Côte Pavée / Jolimont,32.2,0
Borderouge / Bagatelle,267.3,0
Borderouge / Bagatelle,32.0,0
Capitole / Carmes,191.2,0
Côte Pavée / Jolimont,71.0,0
Capitole / Carmes,95.7,0
Côte Pavée / Jolimont,115.5,0
Borderouge / Bagatelle,99.5,0
Capitole / Carmes,134.8,0
Saint-Cyprien / Empalot,233.7,0
Borderouge / Bagatelle,26.0,0
Côte Pavée / Jolimont,163.0,0
Saint-Cyprien / Empalot,184.0,1
Borderouge / Bagatelle,289.5,0
Borderouge / Bagatelle,22.3,0
Capitole / Carmes,159.5,0
Borderouge / Bagatelle,334.8,0
Borderouge / Bagatelle,269.5,0
Rangueil / Saouzelong,66.6,0
Rangueil / Saouzelong,138.8,0
Côte Pavée / Jolimont,43.7,0
Capitole / Carmes,49.0,0
Capitole / Carmes,52.5,0
Borderouge / Bagatelle,118.1,0
Borderouge / Bagatelle,118.1,0
Côte Pavée / Jolimont,320.9,0
Côte Pavée / Jolimont,353.3,0
Borderouge / Bagatelle,156.9,0
Borderouge / Bagatelle,202.3,0
Côte Pavée / Jolimont,216.3,1
Borderouge / Bagatelle,91.1,0
Saint-Cyprien / Empalot,84.6,0
Rangueil / Saouzelong,192.5,0
Côte Pavée / Jolimont,254.6,0
Côte Pavée / Jolimont,254.6,0
Borderouge / Bagatelle,310.8,0
Rangueil / Saouzelong,240.7,0
Rangueil / Saouzelong,325.4,0
Saint-Cyprien / Empalot,156.0,0
Saint-Cyprien / Empalot,156.0,0
Capitole / Carmes,102.1,0
Croix-Daurade / Minimes,16.3,0
Rangueil / Saouzelong,151.2,0
Côte Pavée / Jolimont,157.5,0
Côte Pavée / Jolimont,157.5,0
Borderouge / Bagatelle,191.9,0
Rangueil / Saouzelong,80.1,0
Borderouge / Bagatelle,174.9,0
Côte Pavée / Jolimont,149.6,0
Rangueil / Saouzelong,109.7,0
Saint-Cyprien / Empalot,56.0,0
Rangueil / Saouzelong,114.8,0
Borderouge / Bagatelle,288.3,0
Côte Pavée / Jolimont,110.1,0
Côte Pavée / Jolimont,158.8,0
Capitole / Carmes,86.9,0
Rangueil / Saouzelong,240.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Côte Pavée / Jolimont,65.5,0
Capitole / Carmes,84.0,0
Rangueil / Saouzelong,85.6,0
Borderouge / Bagatelle,97.4,0
